"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1974/02/01","00:00","2.313","1.785","NaN","0.833","NaN","NaN","0.023","-0.387","0"
"1974/03/01","00:00","NaN","1.663","NaN","0.755","NaN","NaN","-0.036","NaN","4"
"1974/04/01","00:00","NaN","1.473","NaN","0.574","NaN","NaN","-0.246","NaN","4"
"1974/05/01","00:00","2.014","1.473","NaN","0.614","NaN","NaN","-0.266","-0.587","0"
"1974/06/01","00:00","2.215","1.575","NaN","0.633","NaN","NaN","-0.256","-0.486","0"
"1974/07/01","00:00","2.313","1.785","NaN","0.774","NaN","NaN","-0.177","-0.686","0"
"1974/08/01","00:00","2.415","1.804","NaN","0.853","NaN","NaN","0.043","-0.285","0"
"1974/09/01","00:00","2.513","2.064","NaN","1.214","NaN","NaN","0.443","0.213","0"
"1974/10/01","00:00","2.215","1.864","NaN","0.955","NaN","NaN","0.115","-0.285","0"
"1974/11/01","00:00","2.215","1.795","NaN","0.774","NaN","NaN","-0.128","-0.486","0"
"1974/12/01","00:00","2.415","1.952","NaN","0.863","NaN","NaN","-0.036","-0.486","0"
"1975/01/01","00:00","2.415","1.772","NaN","0.692","NaN","NaN","-0.197","-0.686","0"
"1975/02/01","00:00","1.913","1.575","NaN","0.663","NaN","NaN","-0.167","-0.486","0"
"1975/03/01","00:00","1.913","1.575","NaN","0.732","NaN","NaN","-0.007","-0.285","0"
"1975/04/01","00:00","2.215","1.614","NaN","0.702","NaN","NaN","-0.066","-0.387","0"
"1975/05/01","00:00","2.215","1.693","NaN","0.682","NaN","NaN","-0.085","-0.486","0"
"1975/06/01","00:00","2.113","1.732","NaN","0.712","NaN","NaN","-0.118","-0.486","0"
"1975/07/01","00:00","2.215","1.713","NaN","0.764","NaN","NaN","-0.056","-0.387","0"
"1975/08/01","00:00","2.215","1.772","NaN","0.833","NaN","NaN","0.033","-0.387","0"
"1975/09/01","00:00","2.215","1.814","NaN","0.932","NaN","NaN","0.194","-0.085","0"
"1975/10/01","00:00","2.113","1.713","NaN","0.823","NaN","NaN","0.043","-0.387","0"
"1975/11/01","00:00","2.113","1.634","NaN","0.623","NaN","NaN","-0.246","-0.587","0"
"1975/12/01","00:00","2.215","1.772","NaN","0.663","NaN","NaN","-0.276","-0.587","0"
"1976/01/01","00:00","2.405","1.785","1.283","0.682","0.663","0.052","-0.236","-0.676","0"
"1976/02/01","00:00","1.982","1.624","1.263","0.712","0.702","0.135","-0.046","-0.377","0"
"1976/03/01","00:00","1.962","1.375","1.112","0.554","0.545","-0.026","-0.157","-0.518","0"
"1976/04/01","00:00","1.823","1.385","1.004","0.482","0.463","-0.075","-0.256","-0.777","0"
"1976/05/01","00:00","2.293","1.752","1.263","0.692","0.663","0.072","-0.167","-0.467","0"
"1976/06/01","00:00","2.183","1.644","1.155","0.584","0.554","-0.036","-0.295","-0.697","0"
"1976/07/01","00:00","2.103","1.624","1.184","0.623","0.614","0.033","-0.217","-0.528","0"
"1976/08/01","00:00","2.195","1.713","1.352","0.823","0.804","0.262","0.043","-0.246","0"
"1976/09/01","00:00","2.014","1.834","1.512","0.984","0.974","0.433","0.272","-0.118","0"
"1976/10/01","00:00","2.415","1.762","1.404","0.892","0.863","0.325","0.174","-0.266","0"
"1976/11/01","00:00","2.592","1.903","1.473","0.932","0.902","0.335","0.092","-0.285","0"
"1976/12/01","00:00","2.293","1.844","1.352","0.833","0.804","0.253","-0.016","-0.397","0"
"1977/01/01","00:00","2.474","1.913","1.473","0.932","0.912","0.354","0.092","-0.197","0"
"1977/02/01","00:00","2.215","1.634","1.273","0.692","0.673","0.072","-0.138","-0.407","0"
"1977/03/01","00:00","1.742","1.394","1.093","0.512","0.502","-0.085","-0.236","-0.456","0"
"1977/04/01","00:00","1.723","1.394","1.063","0.502","0.482","-0.095","-0.246","-0.667","0"
"1977/05/01","00:00","2.143","1.542","1.102","0.522","0.502","-0.095","-0.338","-0.707","0"
"1977/06/01","00:00","2.483","1.624","1.122","0.545","0.512","-0.095","-0.348","-0.727","0"
"1977/07/01","00:00","2.434","1.923","1.453","0.902","0.873","0.292","0.043","-0.446","0"
"1977/08/01","00:00","2.195","1.824","1.503","0.955","0.945","0.404","0.174","-0.056","0"
"1977/09/01","00:00","2.054","1.795","1.512","0.955","0.932","0.354","0.203","-0.016","0"
"1977/10/01","00:00","2.352","1.932","1.575","1.053","1.024","0.453","0.312","-0.177","0"
"1977/11/01","00:00","2.562","2.044","1.585","1.014","0.994","0.404","0.194","-0.246","0"
"1977/12/01","00:00","2.523","1.952","1.483","0.902","0.883","0.282","0.052","-0.348","0"
"1978/01/01","00:00","2.894","2.064","1.624","1.063","1.043","0.463","0.184","-0.167","0"
"1978/02/01","00:00","2.592","1.824","1.453","0.883","0.873","0.292","0.092","-0.187","0"
"1978/03/01","00:00","2.103","1.654","1.293","0.755","0.732","0.164","0.023","-0.328","0"
"1978/04/01","00:00","1.824","1.604","1.253","0.745","0.712","0.164","0.013","-0.367","0"
"1978/05/01","00:00","2.163","1.585","1.184","0.633","0.604","0.033","-0.187","-0.507","0"
"1978/06/01","00:00","2.123","1.522","1.053","0.482","0.463","-0.128","-0.387","-0.807","0"
"1978/07/01","00:00","2.503","1.683","1.234","0.673","0.653","0.062","-0.167","-0.597","0"
"1978/08/01","00:00","2.552","2.123","1.742","1.184","1.165","0.574","0.364","0.033","0"
"1978/09/01","00:00","2.054","1.634","1.365","0.833","0.814","0.262","0.125","-0.128","0"
"1978/10/01","00:00","2.234","1.683","1.375","0.804","0.784","0.194","0.043","-0.276","0"
